org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators,score,rank
BAAI,0.6648936170212766,0.13636363636363635,0.358974358974359,0.5333333333333333,0.14285714285714285,0.45254093997084144,0.049956395818305147,0.04427775418073396,0.7157714565164235,1.0,0.15251716747583433,1.0,0.2894736842105263,0.2857142857142857,1.0,0.27785571511318397,0.037306135511055535,0.22857142857142856,0.40946705842402037,3
ShanghaiAILab,0.324468085106383,0.09090909090909091,1.0,1.0,0.2857142857142857,0.0890599384161207,0.0003095358577104036,1.0,1.0,0.005957242373288494,0.13817084372129643,0.875,0.5921052631578947,0.8571428571428571,0.8154296885325112,0.13757587729724483,1.0,0.0,0.5117690393460379,2
Baidu,0.10106382978723404,0.0,0.0,0.0,0.14285714285714285,0.003263703623043744,0.0,0.0,0.0,0.0007446552966610617,0.0001312163758037003,0.07236842105263158,0.046052631578947366,0.2857142857142857,0.0,0.0024849919477153946,0.005422575693823005,0.0,0.036672414107071574,8
Baichuan,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.0009032164915915245,0.0,0.0,0.0,0.0,0.006578947368421052,0.0,0.0,0.00036026021769627653,0.0,0.0,0.0009105240347065223,12
Zhipu,0.06914893617021277,0.0,0.02564102564102564,0.06666666666666667,0.0,0.04812601707168049,0.0,0.00842442445131277,0.03691300955951702,0.0,0.034291212876700346,0.0,0.07894736842105263,1.0,0.0,0.03946858269746512,0.1515417301275935,0.0,0.08662049853795706,7
Ali,0.30851063829787234,0.1590909090909091,0.3076923076923077,0.26666666666666666,0.14285714285714285,0.03576160142284169,0.014671999655473132,0.05819031006515582,0.024393651828650605,0.01748498678837377,0.0002624327516074006,0.13815789473684212,0.6118421052631579,0.0,0.030351665709817902,0.05119378048902981,0.0,1.0,0.17595156073976936,6
Huawei,0.02127659574468085,0.0,0.0,0.044444444444444446,0.0,0.003368813633146404,0.0,0.0,0.0,0.0,0.0007872982548222018,0.013157894736842105,0.02631578947368421,0.0,0.0018005673425930918,0.0018428180652419201,0.0,0.0,0.006277456760858623,11
LMSYS,0.02127659574468085,0.0,0.0,0.0,0.0,0.08355867709599947,0.0,0.0,0.0,0.0,0.052617766697283824,0.0,0.013157894736842105,0.2857142857142857,0.0,0.06096835000150667,0.11527862556966677,0.0,0.03514289975334808,9
Falcon,0.005319148936170213,0.0,0.0,0.06666666666666667,0.0,0.17765406556444832,0.0,0.0,0.010111430667303191,0.0,0.05519835542142326,0.006578947368421052,0.019736842105263157,0.0,0.24839370996169433,0.002907527630552477,0.0,0.0,0.03292037190677459,10
EleutherAI,1.0,0.0,0.06837606837606838,0.0,0.0,1.0,0.0,0.004161846993783251,0.0,0.0,0.17526133928180904,0.27631578947368424,1.0,0.0,0.9659996214896602,0.27515242422314706,0.0,0.0,0.264737060546564,5
Meta,0.18085106382978725,0.13636363636363635,0.13675213675213677,0.4444444444444444,0.42857142857142855,0.6979871811158902,0.568305143140147,0.14457004040970436,0.592594576342233,0.003348546721114581,0.46389362725801514,0.18421052631578946,0.29605263157894735,0.7142857142857143,0.5907066195960512,0.6121390283018552,0.019278293696181677,0.0,0.34524192437350426,4
Google,0.6861702127659575,1.0,0.38461538461538464,0.4444444444444444,1.0,0.8970844449284042,1.0,0.0049106101076305,0.28207677887358384,0.0,1.0,0.868421052631579,0.6776315789473685,0.8571428571428571,0.18757830564815667,1.0,0.0,0.0,0.5716708705614092,1
