org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators,score,rank
BAAI,0.47023809523809523,0.0,0.013333333333333334,0.25,0.0,0.7207233457472478,0.0,0.07347007397444519,1.0,0.0,0.11127670144063587,0.44881889763779526,0.19047619047619047,0.3333333333333333,1.0,0.48433321784245265,0.125,0.22857142857142856,0.30275414542194207,4
ShanghaiAILab,0.15476190476190477,0.022727272727272728,1.0,1.0,0.0,0.0969651165967056,0.0,1.0,0.591820260998251,0.0,0.15946348733233978,0.6456692913385826,0.32653061224489793,0.0,0.6623472055394616,0.1240549736591953,0.0,0.0,0.3213522291777006,3
Baidu,0.10714285714285714,0.0,0.0,0.0,0.0,0.0046711526729373625,0.0,0.0,0.0,0.0,0.0004967709885742673,0.08661417322834646,0.04081632653061224,0.16666666666666666,0.0,0.004042180823183462,0.03372093023255814,0.0,0.024676169904763092,10
Baichuan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
Zhipu,0.047619047619047616,0.0,0.0,0.07142857142857142,0.0,0.030021033845369367,0.0,0.0,0.021368671240862818,0.0,0.06308991554893194,0.0,0.05442176870748299,0.3333333333333333,0.0,0.022476302159679468,1.0,0.0,0.09131992466018217,7
Ali,0.2916666666666667,0.11363636363636363,0.48,0.35714285714285715,0.0,0.0,0.015389207654804152,0.0,0.0,0.0,0.0,0.14173228346456693,0.5578231292517006,0.0,0.004154596198685791,0.0015102653625081067,0.0,1.0,0.16461418718767515,6
Huawei,0.023809523809523808,0.0,0.0,0.07142857142857142,0.0,0.0029775183704688454,0.0,0.0,0.0,0.0,0.0029806259314456036,0.015748031496062992,0.027210884353741496,0.0,0.0014979156362608635,0.0019633449712605387,0.0,0.0,0.008200911999851977,11
LMSYS,0.023809523809523808,0.0,0.0,0.0,0.0,0.14439598262659006,0.0,0.0,0.0,0.0,0.17436661698956782,0.0,0.013605442176870748,0.3333333333333333,0.0,0.13198830876931142,0.5819767441860465,0.0,0.07797088621618022,8
Falcon,0.005952380952380952,0.0,0.0,0.03571428571428571,0.0,0.28636078052866887,0.0,0.0,0.008184223507780619,0.0,0.18082463984103328,0.007874015748031496,0.006802721088435374,0.0,0.4444146117430933,0.0032426285724438757,0.0,0.0,0.05440946042756408,9
EleutherAI,1.0,0.0,0.10666666666666667,0.0,0.0,0.6592243883339556,0.0,0.013660053799596504,0.0,0.0,0.23944361649279683,0.2283464566929134,1.0,0.0,0.611333286229068,0.26173787123655196,0.0,0.0,0.2289117966361972,5
Meta,0.13095238095238096,0.11363636363636363,0.18666666666666668,0.4642857142857143,0.42857142857142855,1.0,0.8707505555371298,0.052328513786146606,0.08953316292210413,1.0,0.46348733233979134,0.14173228346456693,0.2585034013605442,0.16666666666666666,0.5085847523493252,0.9369330952444409,0.05988372093023256,0.0,0.3818064465951945,2
Google,0.5654761904761905,1.0,0.6,0.6071428571428571,1.0,0.7323420412846126,1.0,0.007271351714862139,0.05466612852594287,0.0,1.0,1.0,0.5102040816326531,1.0,0.00886031230127888,1.0,0.0,0.0,0.5603312757265776,1
