org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips,score,rank
BAAI,0.0005958718934381593,0.0022364901584755823,0.0,0.007481298650831239,0.006674162510226071,0.0,1.0,0.013963665678173495,0.024475524475524476,0.13135593220338984,0.0,0.2222222222222222,0.1879432624113475,0.0,1.0,0.11144957868092613,0.11291850915982313,1.0,0.21229536211357655,4
ShanghaiAILab,0.016762093298814236,0.007720900938286296,0.0,0.0,0.2463495972585265,0.00018727706996421667,0.0,0.012869605274522787,0.2062937062937063,0.2838983050847458,0.0,0.0,1.0,0.5,0.0,0.11803508618139183,0.18809222994314592,0.25,0.15723382229683913,5
Baidu,0.011008236070174619,0.004297248608350262,0.0,0.0,0.005772573928805149,0.0,0.0,0.0020921505964548604,0.16783216783216784,0.0635593220338983,0.0,0.0,0.06382978723404255,0.0,0.0,0.013686021411117563,0.026531901452937462,0.5,0.0477005227315527,8
Baichuan,0.0,0.005007010333474012,0.0,0.0,7.699629891996446e-05,0.0,0.0,0.000652597433756562,0.0,0.036016949152542374,0.0,0.0,0.014184397163120567,0.0,0.0,0.04065263365512103,0.044061907770056856,0.25,0.02170291621149952,12
Zhipu,0.01099957173096759,0.05361747830035417,0.018005337149593164,0.0,0.05097016122672152,0.0,0.0,0.00804230366894116,0.013986013986013986,0.3177966101694915,0.005383580080753701,0.0,0.20212765957446807,0.0,0.0,0.3631452646804221,0.315698041692988,0.25,0.08943177901448417,6
Ali,0.17332332885136564,1.0,1.0,0.19249790520601842,1.0,0.0,0.3338594087929967,1.0,0.5629370629370629,1.0,0.2395693135935397,1.0,0.4787234042553192,0.0,1.0,1.0,1.0,0.25,0.6239394679797946,2
Huawei,0.0,0.0001738340539822614,0.0,0.0,0.0,0.0,0.0,2.8791063253965968e-05,0.0,0.025423728813559324,0.0,0.0,0.0,0.0,0.0,6.574549917270247e-05,0.0026847757422615286,0.5,0.029354270842901653,10
LMSYS,0.0,0.016446658619333015,0.0,0.0,0.0,0.0,0.0,0.007533661551454429,0.0,0.06991525423728813,0.0,0.0,0.0,0.0,0.0,0.039271978172494275,0.030480101073910297,0.25,0.022980425203026674,11
Falcon,0.0,0.02136097560963412,0.0,0.0,0.00011408832268506077,0.0,0.0,0.014616263111930056,0.0,0.1864406779661017,0.0,0.0,0.0035460992907801418,0.0,0.0,0.09920995825160803,0.11891977258370183,0.25,0.03856710195202449,9
EleutherAI,0.0,0.05086969386143822,0.0,0.0,0.0,0.0029202795107079044,2.694023606008829e-07,0.031958080211902225,0.0,0.21398305084745764,0.0,0.0,0.0,0.375,0.03125,0.04870645730377708,0.04532533164876816,0.25,0.058334064599245096,7
Meta,0.928719253774349,0.9874478009879646,0.6400667784322197,1.0,0.3029869603239364,1.0,0.14824107354188124,0.2957897868501617,1.0,0.3347457627118644,1.0,0.5555555555555556,0.13829787234042554,1.0,0.53125,0.7877735286705164,0.7784270372710044,0.5,0.6627389672477711,1
Google,1.0,0.20508513869122696,0.00015212719385806735,0.0,0.9180178239095692,0.0,0.00028274813907988046,0.45518671004520195,0.21328671328671328,0.4576271186440678,0.006729475100942127,0.0,0.40425531914893614,0.0,0.15625,0.37550541852489017,0.39166140240050534,0.5,0.2824466663936106,3
