org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips,score,rank
BAAI,0.0013407892615162754,0.002185620895930568,0.0,1.0,0.010291939668371466,0.0,1.0,0.011158057216110509,0.027777777777777776,0.19117647058823528,0.0,0.3333333333333333,0.375,0.0,1.0,0.1334560515416475,0.1568,1.0,0.29125111334905124,4
ShanghaiAILab,0.007375405781183923,0.0047620957895797575,0.0,0.0,0.11504067948818784,0.00031641376711421263,0.0,0.004198987533846979,0.21666666666666667,0.17279411764705882,0.0,0.0,1.0,0.5,0.0,0.08893735368854919,0.1376,0.25,0.13876065113123262,5
Baidu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.027777777777777776,10
Baichuan,0.0,0.003684401953689211,0.0,0.0,0.0,0.0,0.0,0.0006148050283202741,0.0,0.03676470588235294,0.0,0.0,0.0,0.0,0.0,0.06548750475199584,0.07808,0.25,0.024146189867575458,12
Zhipu,0.0,0.03354042506414373,0.003911180409912571,0.0,0.10133184201996348,0.0,0.0,0.001831334126911455,0.0,0.1948529411764706,0.017142857142857144,0.0,0.23863636363636365,0.0,0.0,0.291302346985734,0.33088,0.25,0.08130162725346425,6
Ali,0.23928162659308094,1.0,1.0,0.6768853464132434,0.9669229102969035,0.0,0.21526433089694177,1.0,0.6888888888888889,1.0,0.8457142857142858,1.0,0.9204545454545454,0.0,0.7241379310344828,0.7919526201004422,0.96,0.25,0.6821945825218231,1
Huawei,0.0,0.0001585897706740864,0.0,0.0,0.0,0.0,0.0,1.3080958049367536e-05,0.0,0.01838235294117647,0.0,0.0,0.0,0.0,0.0,0.00010004201764741191,0.00224,0.5,0.028938559204863743,9
LMSYS,0.0,0.01733878917740502,0.0,0.0,0.0,0.0,0.0,0.001779010294713985,0.0,0.0661764705882353,0.0,0.0,0.0,0.0,0.0,0.06908901738730266,0.05248,0.25,0.02538129374709205,11
Falcon,0.0,0.014046880513216356,0.0,0.0,0.0007513932349576635,0.0,0.0,0.0065273980666344005,0.0,0.07352941176470588,0.0,0.0,0.011363636363636364,0.0,0.0,0.15962704335821046,0.17792,0.25,0.038542542405631174,8
EleutherAI,0.0,0.04525972201311494,0.0,0.0,0.0,0.003819110415643076,0.0,0.01847031276570696,0.0,0.17279411764705882,0.0,0.0,0.0,0.125,0.0,0.08101402589087417,0.07968,0.25,0.043113182707355445,7
Meta,0.8343793943782383,0.721468354865548,0.9371924130907717,0.11955855303494789,0.6209777954267559,1.0,0.029632568947233033,0.20623438460632856,1.0,0.4375,1.0,0.16666666666666666,0.3181818181818182,1.0,0.27586206896551724,1.0,1.0,0.5,0.6204252232313237,2
Google,1.0,0.16543882541277893,0.0001942838777972566,0.0,1.0,0.0,3.2218532338456874e-05,0.5140162465498973,0.18333333333333332,0.3492647058823529,0.017142857142857144,0.0,0.7272727272727273,0.0,0.034482758620689655,0.38540186878488963,0.50784,0.5,0.29913443474498114,3
