org,data,model,infra,eval,score,rank
BAAI,0.5,0.43067655807339306,0.5,1.0,0.5486716123700298,3
ShanghaiAILab,0.6309297535714575,0.38685280723454163,0.3562071871080222,0.6309297535714575,0.463104185992427,5
Baidu,0.31546487678572877,0.31546487678572877,0.43067655807339306,0.3010299956639812,0.3322610101467149,7
Baichuan,0.27023815442731974,0.27023815442731974,0.2890648263178879,0.31546487678572877,0.2809137201354826,12
Zhipu,0.3333333333333333,0.3562071871080222,0.2890648263178879,0.5,0.36516995349588127,6
Ali,0.3562071871080222,0.6309297535714575,0.3333333333333333,0.3010299956639812,0.4805599628032849,4
Huawei,0.27894294565112987,0.2890648263178879,0.38685280723454163,0.3010299956639812,0.30567003791721936,11
LMSYS,0.3010299956639812,0.27894294565112987,0.31546487678572877,0.43067655807339306,0.31400004457941544,9
Falcon,0.2890648263178879,0.3010299956639812,0.2890648263178879,0.3562071871080222,0.30623780445595694,10
EleutherAI,0.38685280723454163,0.3333333333333333,0.3010299956639812,0.3010299956639812,0.331485466427084,8
Meta,0.43067655807339306,1.0,1.0,0.3333333333333333,0.7940016485677878,1
Google,1.0,0.5,0.6309297535714575,0.38685280723454163,0.5862970934676666,2
