org,num_operators,num_adapted_chips_operator_lib,num_adapted_frameworks_operator_lib,support_heterogeneous_training_frameworks,num_adapted_chips_frameworks,support_lifecycle,deep_learning_framework,score,rank,delta rank
BAAI,0.8411764705882353,0.35,1.0,1.0,0.4,1.0,0.0,0.6558823529411766,3,0
ShanghaiAILab,0.0,0.35,1.0,0.0,0.1,1.0,0.0,0.35000000000000003,6,0
Baidu,0.9176470588235294,0.2,0.5,0.0,0.2,1.0,1.0,0.5453781512605042,4,0
Baichuan,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0071428571428571435,10,0
Zhipu,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0071428571428571435,10,0
Ali,0.0,0.25,1.0,0.0,0.05,0.75,0.0,0.2928571428571428,7,0
Huawei,0.0,0.2,0.5,0.0,0.05,1.0,1.0,0.39285714285714285,5,0
LMSYS,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.15,8,0
Falcon,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0071428571428571435,10,0
EleutherAI,0.0,0.0,0.0,0.0,0.05,0.5,0.0,0.07857142857142858,9,0
Meta,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.7857142857142857,1,0
Google,0.8117647058823529,1.0,0.5,0.0,1.0,1.0,1.0,0.7588235294117647,2,0
