org,data,model,infra,eval,score,rank,delta rank
BAAI,0.43067655807339306,0.5,0.5,1.0,0.5717794263455654,2,0
ShanghaiAILab,0.6309297535714575,0.38685280723454163,0.3562071871080222,0.6309297535714575,0.463104185992427,5,0
Baidu,0.2890648263178879,0.2890648263178879,0.43067655807339306,0.31546487678572877,0.3170667900217789,10,0
Baichuan,0.27023815442731974,0.27023815442731974,0.2890648263178879,0.31546487678572877,0.2809137201354826,12,0
Zhipu,0.3333333333333333,0.3562071871080222,0.2890648263178879,0.43067655807339306,0.35361604650811346,6,0
Ali,0.3562071871080222,0.6309297535714575,0.3333333333333333,0.31546487678572877,0.4829657763235762,4,0
Huawei,0.27894294565112987,0.3010299956639812,0.38685280723454163,0.31546487678572877,0.31405843611055734,11,0
LMSYS,0.31546487678572877,0.27894294565112987,0.31546487678572877,0.5,0.3279597650874745,8,-1
Falcon,0.3010299956639812,0.3333333333333333,0.2890648263178879,0.38685280723454163,0.32949127153606844,7,1
EleutherAI,0.38685280723454163,0.31546487678572877,0.3010299956639812,0.31546487678572877,0.32495705167357297,9,0
Meta,0.5,1.0,1.0,0.3333333333333333,0.8055555555555556,1,0
Google,1.0,0.43067655807339306,0.6309297535714575,0.3562071871080222,0.5465277691499432,3,0
