org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips,score,rank,delta rank
BAAI,0.0005958718934381593,0.0022364901584755823,0.0,0.007481298650831239,0.0010509309667399661,0.0,0.13610602058943685,0.013963665678173495,0.024475524475524476,0.11969111969111969,0.0,0.2222222222222222,0.1879432624113475,0.0,0.2807017543859649,0.11144957868092613,0.11291850915982313,1.0,0.12337979160911239,8,-4.0
ShanghaiAILab,0.016762093298814236,0.007720900938286296,0.0,0.0,0.03879084754172926,0.00018727706996421667,0.0,0.012869605274522787,0.2062937062937063,0.25868725868725867,0.0,0.0,1.0,0.4444444444444444,0.0,0.11803508618139183,0.18809222994314592,0.25,0.1412157472040702,6,-1.0
Baidu,0.011008236070174619,0.004297248608350262,0.0,0.0,0.0009089644865976793,0.0,0.0,0.0020921505964548604,0.16783216783216784,0.05791505791505792,0.0,0.0,0.06382978723404255,0.0,0.0,0.013686021411117563,0.026531901452937462,0.5,0.04711675197816115,15,-7.0
Baichuan,0.0,0.005007010333474012,0.0,0.0,1.2124037245928068e-05,0.0,0.0,0.000652597433756562,0.0,0.032818532818532815,0.0,0.0,0.014184397163120567,0.0,0.0,0.04065263365512103,0.044061907770056856,0.25,0.02152162240062821,23,-11.0
Zhipu,0.01099957173096759,0.05361747830035417,0.018005337149593164,0.0,0.008025893995061857,0.0,0.0,0.00804230366894116,0.013986013986013986,0.28957528957528955,0.005383580080753701,0.0,0.20212765957446807,0.0,0.0,0.3631452646804221,0.315698041692988,0.25,0.08547813524638075,12,-6.0
Ali,0.17332332885136564,1.0,1.0,0.19249790520601842,0.15746259776110372,0.0,0.045440275567156824,1.0,0.5629370629370629,0.9111969111969112,0.2395693135935397,1.0,0.4787234042553192,0.0,0.2807017543859649,1.0,1.0,0.25,0.5162140307641357,2,0.0
Huawei,0.0,0.0001738340539822614,0.0,0.0,0.0,0.0,0.0,2.8791063253965968e-05,0.0,0.023166023166023165,0.0,0.0,0.0,0.0,0.0,6.574549917270247e-05,0.0026847757422615286,0.5,0.02922884275137187,20,-10.0
LMSYS,0.0,0.016446658619333015,0.0,0.0,0.0,0.0,0.0,0.007533661551454429,0.0,0.0637065637065637,0.0,0.0,0.0,0.0,0.0,0.039271978172494275,0.030480101073910297,0.25,0.022635497951319763,22,-11.0
Falcon,0.0,0.02136097560963412,0.0,0.0,1.7964643664196727e-05,0.0,0.0,0.014616263111930056,0.0,0.16988416988416988,0.0,0.0,0.0035460992907801418,0.0,0.0,0.09920995825160803,0.11891977258370183,0.25,0.03764195574308268,18,-9.0
EleutherAI,0.0,0.05086969386143822,0.0,0.0,0.0,0.0029202795107079044,3.666728323878666e-08,0.031958080211902225,0.0,0.19498069498069498,0.0,0.0,0.0,0.3333333333333333,0.008771929824561403,0.04870645730377708,0.04532533164876816,0.25,0.05371476874124814,14,-7.0
