org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
BAAI,81771,804953,0,9857,764185,0,193019838,1455,7,62,0,2,53,0,32,10171,715,4
ShanghaiAILab,2300248,2778891,0,0,28206785,33755,0,1341,59,134,0,0,282,4,0,10772,1191,1
Baidu,1510651,1546657,0,0,660954,0,0,218,48,30,0,0,18,0,0,1249,168,2
Baichuan,0,1802113,0,0,8816,0,0,68,0,17,0,0,4,0,0,3710,279,1
Zhipu,1509462,19297894,3140843,0,5836033,0,0,838,4,150,4,0,57,0,0,33141,1999,1
Ali,23785015,359917971,174439555,253626,114499010,0,64441489,104199,161,472,178,9,135,0,32,91261,6332,1
Huawei,0,62566,0,0,0,0,0,3,0,12,0,0,0,0,0,6,17,2
LMSYS,0,5919448,0,0,0,0,0,785,0,33,0,0,0,0,0,3584,193,1
Falcon,0,7688199,0,0,13063,0,0,1523,0,88,0,0,1,0,0,9054,753,1
EleutherAI,0,18308917,0,0,0,526354,52,3330,0,101,0,0,0,3,1,4445,287,1
Meta,127447364,355400209,111652964,1317552,34691707,180240966,28613468,30821,286,158,743,5,39,8,17,71893,4929,2
Google,137229161,73813827,26537,0,105112132,0,54576,47430,61,216,5,0,114,0,5,34269,2480,2
Deepseek,0,93886760,0,0,5197224,0,0,5380,0,65,0,0,11,0,0,50102,1783,1
OpenBMB,2963,2743480,168,0,6112960,0,26555,332,1,92,1,0,54,0,4,16307,962,1
01-AI,0,1942560,0,0,3669,0,0,2267,0,47,0,0,4,0,0,9228,556,1
Ai2,110444,5137919,0,0,4368660,0,2825839,1125,3,518,0,0,11,0,14,5546,625,1
OpenAI,33058,12132240,0,64191,727150521,0,0,9071,8,2,0,2,17,0,0,21936,1147,1
Nvidia,15657806,13803910,34417603,4833,3591562,563,1271586,2059,80,149,96,3,39,3,10,19431,1240,1
Microsoft,77338524,65814299,25323526,48518,67974602,1498,0,10672,68,105,28,2,88,9,0,38600,2361,1
Apple,9255465,12328746,0,0,5613183,0,0,226,54,15,0,0,34,0,0,4521,412,1
HuggingFace,28277,17819624,0,0,3582986,0,0,4126,1,79,0,0,13,0,0,9454,618,1
Princeton NLP,0,1711964,0,0,0,0,0,860,0,105,0,0,0,0,0,554,160,1
UKP Lab,0,0,0,0,1512947,0,1418157971,1944,0,0,0,0,1,0,114,9031,601,1
Tencent,263809,280251,5542,1781849,587538,0,3651,333,35,42,1,10,25,0,9,12261,452,1
ByteDance,85534,1369051,0,8145,2304970,0,150,335,15,29,0,4,31,0,1,11095,506,2
