org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips,score,rank,delta rank
BAAI,0.0015511129548215266,0.0019003367085059064,0.0,0.0062422426706612456,0.0014860900601603175,0.0,0.12488024546173224,0.013485379505152483,0.03888888888888889,0.1661631419939577,0.0,0.25,0.25,0.0,0.2803738317757009,0.12827414067903647,0.1303163628745024,1.0,0.13297565408739556,9,-1
ShanghaiAILab,0.012505413803217362,0.0076718337016688,0.0,0.0,0.032313317553904514,0.00015198779247907246,0.0,0.008327666474865303,0.29444444444444445,0.19939577039274925,0.0,0.0,1.0,0.5,0.0,0.10445674074519593,0.14561072700607583,0.25,0.14193766121747778,7,2
Baidu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.027777777777777776,21,0
Baichuan,0.0,0.0022489762895503713,0.0,0.0,1.2912500196721839e-05,0.0,0.0,0.0005963278757127164,0.0,0.045317220543806644,0.0,0.0,0.02,0.0,0.0,0.05352900490181337,0.056568196103079824,0.25,0.023792924345231094,25,-1
Zhipu,0.026728549672649832,0.1406748458723515,0.014510484027741386,0.0,0.00342524976584874,0.0,0.0,0.003630276717058116,0.022222222222222223,0.16314199395770393,0.017857142857142856,0.0,0.115,0.0,0.0,0.24570715424172254,0.24931908652838886,0.25,0.0695676114368239,12,0
Ali,0.29572690324101386,1.0,1.0,0.00028461373849775304,0.12219626247579811,0.0,0.026473439341820806,1.0,0.6,1.0,0.9464285714285714,0.25,0.395,0.0,0.27102803738317754,1.0,1.0,0.25,0.5087298793116043,2,0
Huawei,0.0,2.2260583465729026e-05,0.0,0.0,0.0,0.0,0.0,3.1385677669090336e-05,0.0,0.015105740181268883,0.0,0.0,0.0,0.0,0.0,7.518118665985024e-05,0.002095118374188142,0.5,0.02874053811129176,20,2
LMSYS,0.0,0.011680770563990856,0.0,0.0,0.0,0.0,0.0,0.007448867500130773,0.0,0.07854984894259819,0.0,0.0,0.0,0.0,0.0,0.0530628815445223,0.035826524198617225,0.25,0.024253827374992185,24,1
Falcon,0.0,0.029885236682441602,0.0,0.0,5.201718088726807e-06,0.0,0.0,0.01259611863786159,0.0,0.19939577039274925,0.0,0.0,0.005,0.0,0.0,0.13245421465732415,0.147705845380264,0.25,0.04316902152604052,17,1
EleutherAI,0.0,0.07417154698834176,0.0,0.0,0.0,0.006647264768219338,0.0,0.030757964115708532,0.0,0.13897280966767372,0.0,0.0,0.0,0.25,0.0,0.06477611042612696,0.05384454221663524,0.25,0.048287235454594755,14,3
Meta,0.8300138271661816,0.985086574397096,0.4273254035164926,0.2764177188101862,0.03889103286936082,1.0,0.002166329317566702,0.27130825966417327,1.0,0.4078549848942598,1.0,0.625,0.13,1.0,0.08411214953271028,0.9169999699275253,0.8925204274041484,0.5,0.5770942598610945,1,0
Google,1.0,0.12832921592219157,0.00018678883483913634,0.0,0.14121498814074573,0.0,1.5099919273662072e-05,0.4671130407490715,0.3,0.38972809667673713,0.02976190476190476,0.0,0.365,0.0,0.018691588785046728,0.41803747030343125,0.4198617221873036,0.5,0.23210777312669695,3,0
