org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
BAAI,15622,63599,0,2917,145703,0,18765218,1289,7,55,0,2,50,0,30,8531,622,4
ShanghaiAILab,125948,256755,0,0,3168144,2106,0,796,53,66,0,0,200,4,0,6947,695,1
Baidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Baichuan,0,75267,0,0,1266,0,0,57,0,15,0,0,4,0,0,3560,270,1
Zhipu,269196,4707997,284090,0,335827,0,0,347,4,54,3,0,23,0,0,16341,1190,1
Ali,2978407,33467227,19578258,133,11980675,0,3978050,95585,108,331,159,2,79,0,29,66506,4773,1
Huawei,0,745,0,0,0,0,0,3,0,5,0,0,0,0,0,5,10,2
LMSYS,0,390923,0,0,0,0,0,712,0,26,0,0,0,0,0,3529,171,1
Falcon,0,1000176,0,0,510,0,0,1204,0,66,0,0,1,0,0,8809,705,1
EleutherAI,0,2482316,0,0,0,92107,0,2940,0,46,0,0,0,2,0,4308,257,1
Meta,8359466,32968116,8366287,129170,3813053,13856376,325525,25933,180,135,168,5,26,8,9,60986,4260,2
Google,10071478,4294823,3657,0,13845357,0,2269,44649,54,129,5,0,73,0,2,27802,2004,2
Deepseek,0,10234422,0,0,359515,0,0,4528,0,50,0,0,11,0,0,45566,1559,1
OpenBMB,0,418809,0,0,463400,0,1668,128,0,29,0,0,17,0,2,7529,481,1
01-AI,0,211318,0,0,647,0,0,1079,0,26,0,0,2,0,0,4704,281,1
Ai2,0,865516,0,0,359486,0,231246,893,0,97,0,0,8,0,8,4740,402,1
OpenAI,1750,0,0,6082,98044529,0,0,7881,6,0,0,2,16,0,0,13819,842,1
Nvidia,1677074,1069573,4224055,1513,398116,0,48255,1621,70,90,90,3,19,0,3,14780,924,1
Microsoft,8050207,8400779,2100226,947,6699498,0,0,9917,63,71,19,1,66,0,0,34453,2131,1
Apple,1114244,1663589,0,0,792898,0,0,186,38,11,0,0,12,0,0,3020,245,1
HuggingFace,3988,2117697,0,0,523703,0,0,3501,1,44,0,0,13,0,0,8050,388,1
Princeton NLP,0,141831,0,0,0,0,0,760,0,60,0,0,0,0,0,530,139,1
UKP Lab,0,0,0,0,163636,0,150265704,1709,0,0,0,0,1,0,107,8334,554,1
Tencent,60444,1862,0,467300,103010,0,1376,185,30,13,0,8,19,0,9,6889,247,1
ByteDance,1655,90828,0,0,581184,0,150,167,8,16,0,0,24,0,1,8121,343,2
