org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators
BAAI,0,0,0,0,0,-6593,155,916,616,-375,2,0,0,0,-7776,2485,10,0
ShanghaiAILab,6,0,0,1,0,2481,-6,66972,-529,1,0,7,0,0,70519,-709,-891,0
Baidu,-4,0,0,0,1,33,0,0,0,239,0,0,-3,0,0,51,221,0
Baichuan,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0
Zhipu,0,0,0,1,0,617,0,95,401,0,0,0,0,1,0,682,431,0
Ali,1,0,0,0,0,1223,28,2065,264,0,0,0,1,0,561,3019,0,0
Huawei,0,0,0,0,0,232,0,0,0,0,0,0,0,0,-5,237,0,0
LMSYS,0,0,0,0,0,1146,0,0,0,0,6,0,0,0,0,1560,-414,0
Falcon,0,0,0,0,0,-7904,0,0,-30,0,2,0,0,0,-7904,-30,0,0
EleutherAI,0,0,0,0,0,2369,0,8,0,0,21,0,0,0,-4808,7185,0,0
Meta,0,0,0,1,0,-15050,1092,817,4995,5,10,1,0,0,4831,-12965,-7,0
Google,0,0,0,0,0,21679,-8497,58,600,0,48,0,0,0,3209,10631,0,0
Deepseek,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,-77,0,0
OpenBMB,1,0,0,0,0,11881,0,0,1066,0,9,0,0,1,12591,2,354,0
01-AI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ai2,0,0,0,0,0,-91292,0,93079,130324,267,85,0,0,0,131503,-1606,2481,0
OpenAI,0,0,0,0,0,-135,0,0,0,0,36,0,0,0,0,17,-152,0
Nvidia,4,0,0,0,6,-20999,322,-14440,-1105,-684680,79,3,7,0,-694279,-13483,-13157,0
Microsoft,1,0,0,0,0,2347,0,7,-20,-93,0,0,1,0,-30,2278,-7,0
Apple,0,0,0,0,0,106,0,0,59903,0,0,0,0,0,59903,106,0,0
HuggingFace,0,0,0,0,0,-215021,0,0,-155,0,278,0,0,0,-215520,1499,-1155,0
Princeton NLP,0,0,0,0,0,42815,0,0,440,0,7,0,0,0,372,43140,-257,0
UKP Lab,1,0,0,0,0,35991,0,0,0,0,63,0,1,0,26817,12220,32,0
Tencent,0,0,0,0,0,0,0,0,-778,0,0,0,0,0,30,-808,0,0
ByteDance,0,0,0,0,0,4599,0,0,8016,0,1,0,0,0,2952,9663,0,0
