org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
BAAI,75,16965,0,-164,-11904,0,3257048,23,0,2,0,0,2,0,0,384,7,0
ShanghaiAILab,-25094,94436,0,0,-403596,-2195,0,8,-1,5,0,0,4,-2,0,201,17,0
Baidu,195840,6079,0,0,116142,0,0,-13,2,-3,0,0,-1,0,0,-63,36,0
Baichuan,0,4562,0,0,-885,0,0,2,0,0,0,0,0,0,0,-24,-1,0
Zhipu,339307,-194828,-134911,0,460385,0,0,59,0,6,0,0,-2,0,0,1646,15,0
Ali,344633,17755850,-2315696,-332,270769,0,501281,2863,2,12,-8,0,2,0,-1,6349,-11,0
Huawei,0,4084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LMSYS,0,-9002,0,0,0,0,0,16,0,5,0,0,0,0,0,19,3,0
Falcon,0,-144108,0,0,-909,0,0,57,0,-1,0,0,0,0,0,71,18,0
EleutherAI,0,98880,0,0,0,-13938,0,41,0,-1,0,0,0,0,0,60,4,0
Meta,-1552259,9993903,1402382,-100653,277386,-26725285,4058801,1372,-15,6,-20,-1,0,0,-1,6944,91,0
Google,2001225,937351,-3627,0,1727789,0,-80,553,4,26,-2,0,-9,0,-1,1434,8,0
Deepseek,0,1220403,0,0,14690,0,0,265,0,0,0,0,0,0,0,925,17,0
OpenBMB,-403,10856,-20,0,55348,0,-625,5,0,4,0,0,-3,0,0,197,-6,0
01-AI,0,14918,0,0,-40,0,0,-16,0,0,0,0,0,0,0,263,15,0
Ai2,27180,211197,0,0,11561,0,-45678,8,2,-3,0,0,0,0,-1,151,1,0
OpenAI,4100,129005,0,-923,1805989,0,0,365,0,2,0,0,0,0,0,5108,149,0
Nvidia,-201247,-190906,-1544664,-213,639186,0,6768,166,-5,12,0,-1,3,0,1,184,39,0
Microsoft,-1482035,-607654,-3062772,8245,1067174,64,0,315,-2,10,-1,0,-3,1,0,685,41,0
Apple,239779,70598,0,0,-54114,0,0,7,-9,-1,0,0,-2,0,0,-800,10,0
HuggingFace,-226,2526915,0,0,279619,0,0,260,0,0,0,0,1,0,0,1000,56,0
Princeton NLP,0,-105252,0,0,0,0,0,-8,0,-15,0,0,0,0,0,5,-20,0
UKP Lab,0,0,0,0,-96797,0,-1700355,71,0,0,0,0,0,0,0,186,11,0
Tencent,15083,154550,703,-117299,-136005,0,-372,52,0,7,0,0,1,0,0,1228,33,0
ByteDance,-5878,-295601,0,-2087,-42522,0,0,42,4,6,0,0,1,0,0,604,30,0
