org,data,model,infra,eval,score,rank,delta rank
BAAI,0.3562071871080222,0.3010299956639812,1.0,0.5,0.45988286234999426,5,-1
ShanghaiAILab,0.5,0.3333333333333333,0.3010299956639812,1.0,0.46683833261066354,3,0
Baidu,0.24465054211822604,0.23981246656813146,0.3562071871080222,0.23981246656813146,0.260017932583129,15,0
Baichuan,0.21533827903669653,0.21274605355336318,0.24465054211822604,0.23981246656813146,0.22300657473052393,25,0
Zhipu,0.2559580248098155,0.26264953503719357,0.24465054211822604,0.43067655807339306,0.28653895501883586,13,0
Ali,0.3010299956639812,0.6309297535714575,0.3333333333333333,0.23981246656813146,0.46116084271330304,4,1
Huawei,0.22106472945750374,0.22106472945750374,0.31546487678572877,0.23981246656813146,0.23992271019731254,22,0
LMSYS,0.23981246656813146,0.21533827903669653,0.2559580248098155,0.38685280723454163,0.25477302262042967,18,0
Falcon,0.227670248696953,0.227670248696953,0.24465054211822604,0.3562071871080222,0.25192312066901,19,0
EleutherAI,0.31546487678572877,0.24465054211822604,0.25,0.24465054211822604,0.25734450754310545,16,0
Meta,0.3333333333333333,1.0,0.6309297535714575,0.3010299956639812,0.7108821804281288,1,0
Google,0.6309297535714575,0.5,0.5,0.31546487678572877,0.4910657717261977,2,0
Deepseek,0.21810429198553155,0.27023815442731974,0.27023815442731974,0.23981246656813146,0.256478229377157,17,0
OpenBMB,0.2890648263178879,0.25,0.2559580248098155,0.3333333333333333,0.2713926974101728,14,0
01-AI,0.21274605355336318,0.22424382421757544,0.2559580248098155,0.23981246656813146,0.23020800293067273,24,0
Ai2,1.0,0.27894294565112987,0.2559580248098155,0.2890648263178879,0.3969752813468488,6,0
OpenAI,0.23540891336663824,0.2890648263178879,0.43067655807339306,0.2559580248098155,0.29820632920058504,11,0
Nvidia,0.43067655807339306,0.3562071871080222,0.2890648263178879,0.26264953503719357,0.34183541345875684,8,0
Microsoft,0.26264953503719357,0.43067655807339306,0.38685280723454163,0.27023815442731974,0.36862836181987235,7,0
Apple,0.27023815442731974,0.23540891336663824,0.27894294565112987,0.23981246656813146,0.2492033844577493,20,1
HuggingFace,0.38685280723454163,0.23137821315975915,0.26264953503719357,0.6309297535714575,0.3290944558870783,9,0
Princeton NLP,0.25,0.21810429198553155,0.2559580248098155,0.25,0.235045150127735,23,0
UKP Lab,0.27894294565112987,0.31546487678572877,0.2559580248098155,0.27894294565112987,0.29337309107821025,12,0
Tencent,0.22424382421757544,0.38685280723454163,0.2559580248098155,0.23981246656813146,0.31342878954985787,10,0
ByteDance,0.23137821315975915,0.2559580248098155,0.2559580248098155,0.23981246656813146,0.24917046316119207,21,-1
