org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators,score,rank,delta rank
BAAI,0.6648936170212766,0.13636363636363635,0.358974358974359,0.5333333333333333,0.0625,0.07505367686527106,0.049956395818305147,0.003842280881891893,0.07791439082699833,0.11199359083519564,0.0736710893264599,1.0,0.2894736842105263,0.044444444444444446,0.07173607252449103,0.27785571511318397,0.03270435677102274,0.22857142857142856,0.22740455954899025,6,0.0
ShanghaiAILab,0.324468085106383,0.09090909090909091,1.0,1.0,0.125,0.014770543942289846,0.0003095358577104036,0.0867767788358999,0.10885372714664904,0.0006671729648601613,0.06674131665680723,0.875,0.5921052631578947,0.13333333333333333,0.058495723275191355,0.13757587729724483,0.8766482060660218,0.0,0.3050919252527431,3,0.0
Baidu,0.10106382978723404,0.0,0.0,0.0,0.0625,0.0005412835292288089,0.0,0.0,0.0,8.339662060752017e-05,6.33820671004817e-05,0.07236842105263158,0.046052631578947366,0.044444444444444446,0.0,0.0024849919477153946,0.00475369125424715,0.0,0.01857533734900871,19,-3.0
Baichuan,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,7.837821773177517e-05,0.0,0.0,0.0,0.0,0.006578947368421052,0.0,0.0,0.00036026021769627653,0.0,0.0,0.0008646996861587585,28,-4.0
Zhipu,0.06914893617021277,0.0,0.02564102564102564,0.06666666666666667,0.0,0.007981674617865867,0.0,0.0007310444174313157,0.004018118670753313,0.0,0.016563846868925886,0.0,0.07894736842105263,0.15555555555555556,0.0,0.03946858269746512,0.13284878586049603,0.0,0.033198422532636156,16,-2.0
Ali,0.30851063829787234,0.1590909090909091,0.3076923076923077,0.26666666666666666,0.0625,0.005931042785979803,0.014671999655473132,0.005049567666916467,0.0026553399202662894,0.0019582064561359334,0.0001267641342009634,0.13815789473684212,0.6118421052631579,0.0,0.0021773092925986047,0.05119378048902981,0.0,1.0,0.16323469623046424,9,0.0
Huawei,0.02127659574468085,0.0,0.0,0.044444444444444446,0.0,0.0005587159691182446,0.0,0.0,0.0,0.0,0.0003802924026028902,0.013157894736842105,0.02631578947368421,0.0,0.00012916562947348813,0.0018428180652419201,0.0,0.0,0.006005873137004897,25,-3.0
LMSYS,0.02127659574468085,0.0,0.0,0.0,0.0,0.0138581626459183,0.0,0.0,0.0,0.0,0.025416208907293163,0.0,0.013157894736842105,0.044444444444444446,0.0,0.06096835000150667,0.101058800303405,0.0,0.015565580932449474,20,-3.0
Falcon,0.005319148936170213,0.0,0.0,0.06666666666666667,0.0,0.029463833330825067,0.0,0.0,0.001100666914920881,0.0,0.026662722893602636,0.006578947368421052,0.019736842105263157,0.0,0.017818789192439496,0.002907527630552477,0.0,0.0,0.00979195250215898,23,-3.0
EleutherAI,1.0,0.0,0.06837606837606838,0.0,0.0,0.16584947401688563,0.0,0.0003611516761283841,0.0,0.0,0.08465731429054339,0.27631578947368424,1.0,0.0,0.06929701890581315,0.27515242422314706,0.0,0.0,0.16333384672012613,8,0.0
Meta,0.18085106382978725,0.13636363636363635,0.13675213675213677,0.4444444444444444,0.1875,0.11576080685859909,0.568305143140147,0.012545322422930029,0.06450612832174152,0.0003750157713770423,0.224076734555903,0.18421052631578946,0.29605263157894735,0.1111111111111111,0.042374972904039264,0.6121390283018552,0.016900281584771564,0.0,0.18523716579206756,7,0.0
Google,0.6861702127659575,1.0,0.38461538461538464,0.4444444444444444,0.4375,0.14878098334010564,1.0,0.00042612692725918657,0.030705108721910748,0.0,0.4830347333727711,0.868421052631579,0.6776315789473685,0.13333333333333333,0.013456130937997312,1.0,0.0,0.0,0.4060288383354506,2,0.0
Deepseek,0.005319148936170213,0.0,0.0,0.0,0.0,0.000573765557512002,0.0,0.0,0.0,0.0,0.0008028395166061016,0.0,0.006578947368421052,0.0,0.0,0.0030635511077332068,0.0,0.0,0.0009076806936912542,27,-4.0
OpenBMB,0.10106382978723404,0.0,0.0,0.3111111111111111,0.0,0.041218941411952384,0.0,0.0,0.011765627404223346,0.0,0.041811036930617766,0.03289473684210526,0.05263157894736842,0.26666666666666666,0.016000079486541214,0.012021843286805303,0.746817884269698,0.0,0.09077796311912907,12,-2.0
01-AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,-5.0
Ai2,0.9468085106382979,0.022727272727272728,0.07692307692307693,0.3111111111111111,0.0625,0.7966877110077706,0.00042796696848655804,1.0,0.1265647810415574,0.00026471701508967694,1.0,0.4342105263157895,0.5657894736842105,1.0,1.0,0.27592115792187444,0.6162758076079842,0.0,0.45756733960902896,1,0.0
OpenAI,0.026595744680851064,0.0,0.0,0.0,0.0,0.0035601055477799347,0.0,0.0,0.0,0.0,0.03382489647595707,0.0,0.006578947368421052,0.044444444444444446,0.0,0.0005256584960809982,0.11454577570889746,0.0,0.012781976262357336,21,-3.0
Nvidia,0.22872340425531915,0.13636363636363635,0.05128205128205128,0.13333333333333333,1.0,0.09895743976402245,0.07711749442835455,0.027595834124885345,0.008712556855327194,1.0,0.16456097354855068,0.1513157894736842,0.28289473684210525,0.17777777777777778,0.2928684644884017,0.5034656631165187,0.7094273750272753,0.0,0.28024425170451356,4,0.0
Microsoft,0.18085106382978725,0.0,0.008547008547008548,0.044444444444444446,0.1875,0.0197138320766927,0.0,0.0003301208947587408,0.0010002836587466137,0.0008164798178833023,0.042804022648525314,0.03289473684210526,0.17763157894736842,0.13333333333333333,0.0006997546080577812,0.10254894148449976,0.017908168036491725,0.0,0.052834653842761294,14,-1.0
Apple,0.005319148936170213,0.0,0.0,0.08888888888888889,0.0,0.0005172041877987971,0.0,0.0,0.32940892260121407,0.0,0.00035916504690272963,0.02631578947368421,0.006578947368421052,0.0,0.09856020142253605,0.002761548583233168,0.0,0.0,0.03103943425049162,17,-5.0
HuggingFace,0.3829787234042553,0.0,0.0,0.044444444444444446,0.0,0.9546110684706106,0.0,0.0,0.003813296269266424,0.0,0.25549311248204176,0.09210526315789473,0.27631578947368424,0.37777777777777777,0.5221691604052054,0.36779956675025866,1.0,0.0,0.23763934459085773,5,0.0
Princeton NLP,0.06382978723404255,0.0,0.0,0.022222222222222223,0.0,0.028719380358280533,0.0,0.0,0.0020538008624341264,0.0,0.0088946167497676,0.019736842105263157,0.05263157894736842,0.044444444444444446,0.0012557811668775943,0.14315388401362025,0.03513055766253468,0.0,0.023448494209269758,18,-3.0
UKP Lab,0.5531914893617021,0.0,0.0,0.0,0.0,0.06202336699424604,0.0,0.0,0.0,0.0,0.04348009803093045,0.13157894736842105,0.42105263157894735,0.022222222222222223,0.01568129901638439,0.15841338185909004,0.001111792271485126,0.0,0.07826417937241271,13,-2.0
Tencent,0.005319148936170213,0.0,0.0,0.08888888888888889,0.0,0.00016679960469747818,0.0,0.0,0.007784772214928663,0.0,8.450942280064228e-05,0.006578947368421052,0.019736842105263157,0.0,9.958571432688779e-05,0.0196850736424116,0.0,0.0,0.008241364883217145,24,-3.0
ByteDance,0.015957446808510637,0.0,0.017094017094017096,0.06666666666666667,0.0,0.002869204027269854,0.0,0.0009644308575917316,0.008292265343365237,0.0,0.00023240091270176625,0.02631578947368421,0.019736842105263157,0.0,0.0016193865853719584,0.026534035550585422,0.0,0.0,0.010349026968057097,22,-3.0
MistralAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33820671004817e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5212259500267613e-06,29,
StanfordNLP,0.07446808510638298,0.0,0.0,0.022222222222222223,0.0,0.037185275482715545,0.0,0.0,0.00014702598126534107,0.0,0.055607200202822615,0.0,0.08552631578947369,0.044444444444444446,0.0,0.1737338159123858,0.1955195810517347,0.0,0.03826966478852485,15,
Moonshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,
MLFoundations,0.026595744680851064,0.0,0.008547008547008548,0.3333333333333333,0.0,0.35695140487907656,0.0,0.16752295112345997,1.0,0.0,0.008260796078762782,0.13815789473684212,0.0,0.0,0.602291518103439,0.0,0.0,0.0,0.1467589250823763,10,
Salesforce,0.09574468085106383,0.0,0.0,0.24444444444444444,0.0,1.0,0.0,0.0,0.1317771055704849,0.0,0.022204850840868758,0.09210526315789473,0.09868421052631579,0.0,0.6391588624990538,0.044474726540397025,0.0,0.0,0.1315885635794735,11,
