org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators
BAAI,125,6,42,24,1,598451,18560,26374,307363,416300,3487,152,44,2,945813,414940,6295,24
ShanghaiAILab,61,4,117,45,2,117775,115,595649,429415,2480,3159,133,90,6,771244,205451,168739,0
Baidu,19,0,0,0,1,4316,0,0,0,310,3,11,7,2,0,3711,915,0
Baichuan,0,0,1,0,0,0,0,538,0,0,0,0,1,0,0,538,0,0
Zhipu,13,0,3,3,0,63643,0,5018,15851,0,784,0,12,7,0,58941,25571,0
Ali,58,7,36,12,1,47292,5451,34661,10475,7279,6,21,93,0,28707,76451,0,105
Huawei,4,0,0,2,0,4455,0,0,0,0,18,2,4,0,1703,2752,0,0
LMSYS,4,0,0,0,0,110500,0,0,0,0,1203,0,2,2,0,91048,19452,0
Falcon,1,0,0,3,0,234934,0,0,4342,0,1262,1,3,0,234934,4342,0,0
EleutherAI,188,0,8,0,0,1322424,0,2479,0,0,4007,42,152,0,913655,410903,0,0
Meta,34,6,16,20,3,923035,211139,86113,254469,1394,10606,28,45,5,558698,914147,3253,0
Google,129,44,45,20,7,1186326,371524,2925,121128,0,22863,132,103,6,177414,1493365,0,0
Deepseek,1,0,0,0,0,4575,0,0,0,0,38,0,1,0,0,4575,0,0
OpenBMB,19,0,0,14,0,328665,0,0,46414,0,1979,5,8,12,210955,17953,143749,0
01-AI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ai2,178,1,9,14,1,6352501,159,6864152,499283,984,47332,66,86,45,13184622,412051,118622,0
OpenAI,5,0,0,0,0,28387,0,0,0,0,1601,0,1,2,0,785,22048,0
Nvidia,43,6,6,6,16,789051,28651,189422,34370,3717177,7789,23,43,8,3861360,751858,136552,0
Microsoft,34,0,1,2,3,157191,0,2266,3946,3035,2026,5,27,6,9226,153143,3447,0
Apple,1,0,0,4,0,4124,0,0,1299479,0,17,4,1,0,1299479,4124,0,0
HuggingFace,72,0,0,2,0,7611725,0,0,15043,0,12093,14,42,17,6884603,549259,192482,0
Princeton NLP,12,0,0,1,0,228998,0,0,8102,0,421,3,8,2,16557,213781,6762,0
UKP Lab,104,0,0,0,0,494552,0,0,0,0,2058,20,64,1,206752,236569,214,0
Tencent,1,0,0,4,0,1330,0,0,30710,0,4,1,3,0,1313,29397,0,0
ByteDance,3,0,2,3,0,22878,0,6620,32712,0,11,4,3,0,21351,39625,0,0
MistralAI,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
StanfordNLP,14,0,0,1,0,296502,0,0,580,0,2632,0,13,2,0,259448,37634,0
Moonshot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLFoundations,5,0,1,15,0,2846202,0,1149903,3944881,0,391,21,0,0,7940986,0,0,0
Salesforce,18,0,0,11,0,7973640,0,0,519845,0,1051,14,15,0,8427068,66417,0,0
Meituan,5,1,0,1,0,618,14,0,246,0,0,0,2,0,0,32,0,0
Xiaomi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
